analysis_id,169b52vmvj1o46q
pvalue,0.6175079
parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:2448481
