gene_symbol,Msantd3
gene_accession_id,MGI:1913915
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
analysis_id,wry09527j1gp548
parameter_name,Alkaline phosphatase
pvalue,0.5754072
mouse_life_stage,Early adult
