analysis_id,5k23352c76442or
gene_accession_id,MGI:88479
parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Early adult
gene_symbol,Cpa3
pvalue,0.5989513
mouse_strain,C57BL
