analysis_id,88r8u2145n98d62
parameter_id,MGP_IMM_013_001
gene_symbol,Kdm5b
parameter_name,Total CD8+ T cells - % of ab T cells
pvalue,0.8315268
gene_accession_id,MGI:1922855
mouse_strain,C57BL
mouse_life_stage,Early adult
