analysis_id,f04l0c36m3u4l98
parameter_id,IMPC_CSD_029_001
mouse_strain,C57BL
pvalue,0.4863717
parameter_name,Activity (body position)
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
