analysis_id,qm7k45rxf0lk800
gene_accession_id,MGI:1927232
parameter_name,Tibia
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_025_001
pvalue,0.2899307
mouse_strain,C57BL
gene_symbol,Rab13
