gene_symbol,Clvs1
gene_accession_id,MGI:1921688
parameter_id,JAX_SLW_014_001
pvalue,0.8515358
parameter_name,Breath rate during sleep standard deviation
analysis_id,7763njv635093g5
mouse_life_stage,Early adult
mouse_strain,C57BL
