mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_name,Periphery average speed
parameter_id,JAX_OFD_013_001
pvalue,0.1059677
analysis_id,k6rcwf7502j47y6
mouse_life_stage,Early adult
gene_symbol,Inpp1
