parameter_name,Fractional Shortening
pvalue,0.7692227
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:109356
mouse_strain,C57BL
analysis_id,52od9399b194a88
gene_symbol,Snap23
