analysis_id,5d4p95qo4k3rism
mouse_strain,C57BL
pvalue,0.3750786
gene_accession_id,MGI:1274787
parameter_name,Prepulse inhibition - PP2
gene_symbol,Trdmt1
parameter_id,ESLIM_011_001_702
mouse_life_stage,Early adult
