parameter_name,Calcium
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:2674093
gene_symbol,Psd4
pvalue,1.134111
mouse_strain,C52BL
mouse_life_stage,Early adult
analysis_id,61h5jif454zqy53
