parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1913105
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
pvalue,0.3870968
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slc28a2
analysis_id,8zj00645743l299
