analysis_id,78516r83z19cayb
gene_accession_id,MGI:1922855
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,C57BL
pvalue,0.8423113
mouse_life_stage,Early adult
gene_symbol,Kdm5b
parameter_id,IMPC_ACS_036_001
