parameter_name,Fractional Shortening
mouse_strain,C57BL
gene_accession_id,MGI:1921688
pvalue,0.5708476
analysis_id,f70v22tytc87z82
gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
