parameter_name,Body length
parameter_id,IMPC_DXA_006_001
pvalue,0.8562646
mouse_life_stage,Early adult
analysis_id,g817pqlb32f6bu7
gene_symbol,Zfp683
mouse_strain,C57BL
gene_accession_id,MGI:3650254
