analysis_id,ymn57p4x04hi1w5
pvalue,0.5448698
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_002
