parameter_name,Total holepokes
mouse_life_stage,Early adult
pvalue,0.5049711
gene_symbol,Slc45a3
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:1922082
mouse_strain,C57BL
analysis_id,m6r332277u2l811
