gene_symbol,Psd4
pvalue,0.6971194
gene_accession_id,MGI:2674093
analysis_id,k6306h9dk8tlxs0
parameter_id,M-G-P_007_001_008
parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
mouse_strain,C57BL
