parameter_id,UCD_OWT_003_001
gene_symbol,Tbl1xr1
analysis_id,nh4m0jpo1bx58g8
mouse_strain,C57BL
pvalue,0.3955151
mouse_life_stage,Early adult
parameter_name,Spleen weight
gene_accession_id,MGI:2441730
