parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
gene_symbol,Cntfr
analysis_id,14x4p41mndz8z36
parameter_name,Skull shape
mouse_life_stage,Early adult
pvalue,0.5413994
gene_accession_id,MGI:99605
