analysis_id,70221v9t7qzpwnk
mouse_life_stage,Early adult
parameter_name,Embryo turning
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
mouse_strain,C57BL
pvalue,1.01864
parameter_id,IMPC_GEL_011_001
