gene_symbol,Nipal3
pvalue,0.8671441
parameter_id,MGP_IMM_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
analysis_id,f0d76s6kh5m6t96
mouse_strain,129SV
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
