parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,q5r5a0cve3753fu
gene_symbol,Ints7
pvalue,0.5568566
gene_accession_id,MGI:1924315
