analysis_id,e2f3k1qrin8ecvz
parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
gene_symbol,SLC45A3
pvalue,0.6911732
gene_accession_id,MGI:1922082
mouse_strain,C57BL
mouse_life_stage,Early adult
