parameter_name,Total protein
mouse_strain,C57BL
gene_symbol,Tox
analysis_id,p3n19in434445o6
pvalue,0.543016
gene_accession_id,MGI:2181659
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
