analysis_id,83wutwnz3wk6q67
gene_accession_id,MGI:1916363
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
pvalue,0.9552023
gene_symbol,Alkbh3
parameter_name,CD4+ KLRG1+ alpha beta T cell number
