parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
gene_accession_id,MGI:1913284
analysis_id,r52q2f624tx907m
gene_symbol,Psmd14
pvalue,0.1522701
mouse_life_stage,Early adult
