parameter_name,Hindlimb nail - number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Npbwr1
pvalue,0.491952
parameter_id,IMPC_CSD_051_002
analysis_id,5il2jc0h27pvy70
gene_accession_id,MGI:891989
