parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
pvalue,0.2681028
analysis_id,80qq936k2akp52w
mouse_strain,C57BL
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
