gene_symbol,Cntfr
parameter_name,Number of rears - total
pvalue,0.7663784
analysis_id,5mrhw4x1q351493
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_id,JAX_OFD_021_001
