analysis_id,rb660f14o0msg2f
gene_symbol,Tiprl
mouse_strain,C57BL
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.9824113
parameter_id,MGP_PBI_009_001
