gene_symbol,Galk2
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
mouse_life_stage,Early adult
pvalue,0.06663893
analysis_id,x3y7v9s57me02o2
gene_accession_id,MGI:1917226
parameter_name,Ly6Clow monocyte percentage
