parameter_name,Mean cell volume
pvalue,0.07383724
mouse_strain,C57BL
gene_symbol,Col6a3
gene_accession_id,MGI:88461
analysis_id,872o160o6cxejz9
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
