gene_symbol,Mapkap1
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
pvalue,0.2873965
analysis_id,71m2a6z36z4x852
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,Cornea vascularisation
