gene_symbol,Ahcy
parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:87968
pvalue,0.5424302
mouse_life_stage,E12.5
analysis_id,7a4u920h549t7fy
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
