analysis_id,0n1aiesw88l875h
pvalue,0.4229257
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ mature NK cell number
