gene_symbol,Bpifa3
parameter_id,MGP_PBI_032_001
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:1920638
pvalue,0.4777258
analysis_id,l6521f68927a8zb
