analysis_id,t72a320b3a03b4f
mouse_life_stage,Early adult
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:3045306
parameter_name,Total food intake
gene_symbol,Exd1
mouse_strain,C57BL
pvalue,0.990604
