analysis_id,4jxc4zsm1v1d169
gene_symbol,Cmpk1
mouse_life_stage,Early adult
pvalue,0.7907499
gene_accession_id,MGI:1913838
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
