parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1ngb10r14li390c
parameter_name,Retina (combined)
gene_symbol,Arpc5l
pvalue,0.258197
