analysis_id,100896zaz9vfal6
parameter_id,JAX_LDT_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3045306
pvalue,0.5736597
parameter_name,Light side time spent
gene_symbol,Exd1
