parameter_name,Activity (body position)
gene_accession_id,MGI:1918025
analysis_id,bx9r2739c1z48qv
mouse_life_stage,Early adult
gene_symbol,Zmynd8
mouse_strain,129SV
parameter_id,IMPC_CSD_029_001
pvalue,0.2389824
