parameter_name,Joints
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
mouse_strain,C57BL
gene_symbol,Bach2
analysis_id,fqnvi82u491q15l
pvalue,0.9144916
parameter_id,IMPC_XRY_027_001
