parameter_name,Snout size
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_028_001
analysis_id,2bx50p7rfy176ex
pvalue,0.1468848
gene_accession_id,MGI:1921802
mouse_strain,129SV
gene_symbol,Nipal3
