parameter_name,Lens Opacity
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
analysis_id,62xwpt644giu62d
pvalue,0.7023306
parameter_id,UCDLA_EYE_017_001
