gene_symbol,Npbwr1
parameter_name,White blood cell-count
analysis_id,3828zq8r8kf4370
gene_accession_id,MGI:891989
parameter_id,M-G-P_016_001_001
pvalue,0.8123422
mouse_life_stage,Early adult
mouse_strain,C57BL
