parameter_name,Global prepulse inhibition
pvalue,0.2656865
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
gene_symbol,Nr0b2
analysis_id,b836of04m319ll9
mouse_strain,B6J
parameter_id,ESLIM_011_001_705
