analysis_id,nsq308g45c20q29
parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
mouse_strain,C57BL
gene_accession_id,MGI:109585
pvalue,0.5768699
mouse_life_stage,Early adult
gene_symbol,Pld1
