analysis_id,pnr722cpi99w9yf
parameter_name,Center average speed
gene_accession_id,MGI:1913405
parameter_id,JAX_OFD_017_001
pvalue,0.4586667
gene_symbol,Ufc1
mouse_strain,C57BL
mouse_life_stage,Early adult
