analysis_id,l152mrg9zx58r47
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
pvalue,0.5399415
mouse_strain,C57BL
gene_symbol,Zyg11b
parameter_name,Follicular B cells - % of B2 cells
gene_accession_id,MGI:2685277
