parameter_name,Eosinophil number
gene_symbol,Rufy4
analysis_id,98agnhd392u38lv
pvalue,0.6781618
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
