analysis_id,8t4990n9ecf3h32
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
parameter_name,Tremor
mouse_strain,C57BL
gene_accession_id,MGI:1924360
pvalue,0.4593113
parameter_id,IMPC_CSD_030_001
