parameter_name,% Freezing duration habituation-1
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
analysis_id,8n0j706xqkm6lk5
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3693487
parameter_id,ICS_FEA_016_001
