parameter_name,Zygomatic bone
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1923029
pvalue,0.1539874
parameter_id,IMPC_XRY_002_001
analysis_id,8n8tr5qyl0ar00z
gene_symbol,Dnaaf9
