analysis_id,l0k465a2k575528
gene_accession_id,MGI:1931749
gene_symbol,Pum1
parameter_id,ESLIM_011_001_703
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
pvalue,0.5764167
mouse_life_stage,Early adult
