analysis_id,6943cg2c48g4i3z
gene_symbol,Mgst2
parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
pvalue,0.2605596
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
