parameter_name,Total T cell percentage
mouse_life_stage,E18.5
analysis_id,w68h8hfyjg4jy50
gene_symbol,Zyg11b
pvalue,0.9851924
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,MGP_PBI_001_001
