parameter_name,DN CD25- NKT cells
pvalue,0.3754487
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
parameter_id,IMPC_IMM_025_001
mouse_strain,C57BL
gene_accession_id,MGI:1917604
analysis_id,84xmg924vn1t9h5
