gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
pvalue,0.7936441
parameter_name,Startle response
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
analysis_id,0r225m7u08z217b
