parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1918764
analysis_id,vphq8bg4inu9in1
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_011_001
gene_symbol,Sfpq
pvalue,0.8587338
mouse_strain,C57BL
