analysis_id,q7rc677x7ao8ohd
pvalue,0.9686893
gene_symbol,Usp37
parameter_name,Retina (combined)
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
