gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
analysis_id,hr4672fk6qy00ix
mouse_strain,C57BL
gene_accession_id,MGI:1920344
pvalue,0.7831389
