gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
pvalue,0.5507607
analysis_id,33r2cs62t2evp3k
mouse_strain,C57BL
parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
gene_accession_id,MGI:1924360
