parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:1923959
pvalue,1.122185
mouse_life_stage,Early adult
gene_symbol,Arpc2
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
analysis_id,4m72mp4x6w92717
